cat=Орехи и семечки
Родина арахиса - Бразилия. Сейчас его разводят почти во всех странах с теплым климатом. Арахис называют еще земляным или китайским орехом. Арахис - не только самый питательный, но и орех, от которого абсолютно не полнеют. Арахис в количестве 20 - 25 орешков в день нормализует функции кроветворных органов и разглаживает морщинки. Арахис имеет меньшее содержание жира, чем большинство других орехов. Арахис содержит: минеральные вещества, насыщенные и ненасыщенные аминокислоты, витамины В1, В2, РР и D, большое количество водорастворимой фракции, что указывает на полноценность и высокую перевариваемость белка арахиса. Белки арахиса характеризуются оптимальным соотношением заменимых и незаменимых аминокислот, и потому они сравнительно хорошо усваиваются организмом человека. Т.к. арахис усиливает чувство сытости из-за высокого содержания в нем белка, он является основой диет для снижения веса и особенно популярен среди моделей.Вещества, которыми богат арахис, необходимы для нормального функционирования нервной ткани, сердца, печени и других органов и систем. Арахисовое масло и орехи относят к желчегонным средствам.Арахис благотворно воздействует на половую потенцию. Арахис улучшает память и внимание. Арахис повышает порог слуховой чувствительности. Арахис полезен при сильном истощении и тяжелой болезни.
 Requiredpattern|/text/sostav-produktov/voda|вода|г|сл.
 Requiredpattern|/text/sostav-produktov/belki|белки|г|29.2
 Requiredpattern|/text/sostav-produktov/zhiri|жиры|г|50.2
 Requiredpattern|/text/sostav-produktov/uglevod|углеводы|г|10.8
 Requiredpattern|/text/sostav-produktov/kaliy|калий|мг|732
 Requiredpattern|/text/sostav-produktov/caltsiy|кальций|мг|85
 Requiredpattern|/text/sostav-produktov/magniy|магний|мг|202
 Requiredpattern|/text/sostav-produktov/natriy|натрий|мг|26
 Requiredpattern|/text/sostav-produktov/phosfor|фосфор|мг|350
 Requiredpattern|/text/sostav-produktov/ferum|железо|мкг|6000
 Requiredpattern|/text/sostav-produktov/vitamin_c|витамин С (аскорбиновая кислота)|мг|сл.
 Requiredpattern|/text/sostav-produktov/vitamin_b1|витамин В1 (тиамин)|мг|0.84
 Requiredpattern|/text/sostav-produktov/vitamin_b2|витамин В2 (рибофлавин)|мг|0.13
 Requiredpattern|/text/sostav-produktov/vitamin_pp|витамин РР (ниацин)|мг|14.7
 Requiredpattern|/text/sostav-produktov/calorii|калорийность|ккал|611
