 Requiredpattern|cat|Изделия из муки ; Макаронные изделия|в/сМакаронные изделия|в/с
 Requiredpattern|/text/sostav-produktov/voda|вода|г|13
 Requiredpattern|/text/sostav-produktov/belki|белки|г|10.4
 Requiredpattern|/text/sostav-produktov/zhiri|жиры|г|1.1
 Requiredpattern|/text/sostav-produktov/uglevod|углеводы|г|74.9
 Requiredpattern|/text/sostav-produktov/kaliy|калий|мг|123
 Requiredpattern|/text/sostav-produktov/caltsiy|кальций|мг|19
 Requiredpattern|/text/sostav-produktov/magniy|магний|мг|16
 Requiredpattern|/text/sostav-produktov/natriy|натрий|мг|3
 Requiredpattern|/text/sostav-produktov/phosfor|фосфор|мг|87
 Requiredpattern|/text/sostav-produktov/ferum|железо|мкг|1580
 Requiredpattern|/text/sostav-produktov/jod|йод|мкг|1.5
 Requiredpattern|/text/sostav-produktov/cobalt|кобальт|мкг|1.6
 Requiredpattern|/text/sostav-produktov/marganets|марганец|мкг|577
 Requiredpattern|/text/sostav-produktov/cuprum|медь|мкг|700
 Requiredpattern|/text/sostav-produktov/molibden|молибден|мкг|12.6
 Requiredpattern|/text/sostav-produktov/ftor|фтор|мкг|23
 Requiredpattern|/text/sostav-produktov/tsink|цинк|мкг|708
 Requiredpattern|/text/sostav-produktov/vitamin_e|витамин Е(токоферол)|мг|2.1
 Requiredpattern|/text/sostav-produktov/vitamin_b1|витамин В1 (тиамин)|мг|0.17
 Requiredpattern|/text/sostav-produktov/vitamin_b2|витамин В2 (рибофлавин)|мг|0.04
 Requiredpattern|/text/sostav-produktov/vitamin_b9|витамин В9 (фолиевая кислота)|мкг|20
 Requiredpattern|/text/sostav-produktov/vitamin_pp|витамин РР (ниацин)|мг|1.21
 Requiredpattern|/text/sostav-produktov/calorii|калорийность|ккал|337
