 Requiredpattern|cat|Изделия из муки ; Хлеб пшеничный|1 сортХлеб пшеничный|1 сорт
 Requiredpattern|/text/sostav-produktov/voda|вода|г|39.1
 Requiredpattern|/text/sostav-produktov/belki|белки|г|7.6
 Requiredpattern|/text/sostav-produktov/zhiri|жиры|г|0.9
 Requiredpattern|/text/sostav-produktov/uglevod|углеводы|г|50.1
 Requiredpattern|/text/sostav-produktov/kaliy|калий|мг|129
 Requiredpattern|/text/sostav-produktov/caltsiy|кальций|мг|23
 Requiredpattern|/text/sostav-produktov/magniy|магний|мг|33
 Requiredpattern|/text/sostav-produktov/natriy|натрий|мг|506
 Requiredpattern|/text/sostav-produktov/phosfor|фосфор|мг|84
 Requiredpattern|/text/sostav-produktov/ferum|железо|мкг|1860
 Requiredpattern|/text/sostav-produktov/cobalt|кобальт|мкг|1.9
 Requiredpattern|/text/sostav-produktov/marganets|марганец|мкг|825
 Requiredpattern|/text/sostav-produktov/cuprum|медь|мкг|134
 Requiredpattern|/text/sostav-produktov/molibden|молибден|мкг|12.8
 Requiredpattern|/text/sostav-produktov/tsink|цинк|мкг|735
 Requiredpattern|/text/sostav-produktov/vitamin_e|витамин Е(токоферол)|мг|1.96
 Requiredpattern|/text/sostav-produktov/vitamin_b1|витамин В1 (тиамин)|мг|0.16
 Requiredpattern|/text/sostav-produktov/vitamin_b2|витамин В2 (рибофлавин)|мг|0.05
 Requiredpattern|/text/sostav-produktov/vitamin_b9|витамин В9 (фолиевая кислота)|мкг|27
 Requiredpattern|/text/sostav-produktov/vitamin_pp|витамин РР (ниацин)|мг|1.54
 Requiredpattern|/text/sostav-produktov/calorii|калорийность|ккал|231
